2048 | 10 | 0 | 10 | 0.000145921 | 0.0117057
2048 | 10 | 16 | 10 | 3.40611e-05 | 0.273543
2048 | 100 | 0 | 10 | 1.33657e-05 | 0.0929703
2048 | 100 | 16 | 10 | 3.68709e-06 | 0.231575
2048 | 1000 | 0 | 10 | 8.95058e-07 | 0.706924
2048 | 1000 | 16 | 10 | 1.35877e-06 | 0.910102
2048 | 5000 | 0 | 10 | 1.14739e-07 | 3.54717
2048 | 5000 | 16 | 10 | 2.91977e-07 | 3.11991
2048 | 10000 | 0 | 10 | 1.80043e-08 | 6.7397
2048 | 10000 | 16 | 10 | 1.90572e-07 | 7.58732
2048 | 20000 | 0 | 10 | 1.90781e-08 | 13.3035
2048 | 20000 | 16 | 10 | 8.76502e-08 | 13.5199
2048 | 100000 | 0 | 10 | 1.10865e-08 | 68.1572
2048 | 100000 | 16 | 10 | 8.88071e-09 | 68.9959
4096 | 10 | 0 | 10 | 0.000154383 | 0.0177218
4096 | 10 | 16 | 10 | 0.000263011 | 0.236251
4096 | 100 | 0 | 10 | 2.65549e-05 | 0.2042
4096 | 100 | 16 | 10 | 3.39112e-05 | 0.324876
4096 | 1000 | 0 | 10 | 1.0434e-06 | 1.26746
4096 | 1000 | 16 | 10 | 2.35869e-07 | 1.52896
4096 | 5000 | 0 | 10 | 7.72767e-07 | 7.09844
4096 | 5000 | 16 | 10 | 1.26145e-08 | 5.76349
4096 | 10000 | 0 | 10 | 2.52992e-07 | 14.3571
4096 | 10000 | 16 | 10 | 3.6026e-07 | 11.5618
4096 | 20000 | 0 | 10 | 4.37505e-08 | 28.8994
4096 | 20000 | 16 | 10 | 4.70017e-08 | 22.646
4096 | 100000 | 0 | 10 | 2.48085e-08 | 145.62
4096 | 100000 | 16 | 10 | 9.40507e-09 | 120.195
8192 | 10 | 0 | 10 | 0.000186696 | 0.0372891
8192 | 10 | 16 | 10 | 4.52373e-05 | 0.269284
8192 | 100 | 0 | 10 | 4.26017e-05 | 0.334414
8192 | 100 | 16 | 10 | 2.67642e-05 | 0.574407
8192 | 1000 | 0 | 10 | 2.94919e-06 | 3.02751
8192 | 1000 | 16 | 10 | 6.75261e-06 | 2.52964
8192 | 5000 | 0 | 10 | 9.31606e-08 | 14.941
8192 | 5000 | 16 | 10 | 3.81634e-07 | 11.2896
8192 | 10000 | 0 | 10 | 6.86398e-08 | 30.086
8192 | 10000 | 16 | 10 | 4.8984e-07 | 23.1209
8192 | 20000 | 0 | 10 | 8.27125e-08 | 60.2955
8192 | 20000 | 16 | 10 | 2.02586e-07 | 48.1876
8192 | 100000 | 0 | 10 | 1.52167e-08 | 308.214
8192 | 100000 | 16 | 10 | 1.93383e-08 | 241.026

