poly_modulus_degree | count | asynchronous | upper_bound | error_ratio | elapsed_time
8192 | 5000 | 0 | 100 | 2.00168e-07 | 20.9708
8192 | 5000 | 0 | 1000 | 1.07487e-06 | 20.9263
8192 | 5000 | 1 | 0.1 | 2.66803e-07 | 5.52987
8192 | 5000 | 1 | 1 | 3.02294e-07 | 5.4831
8192 | 5000 | 1 | 10 | 2.23412e-06 | 5.77331
8192 | 5000 | 1 | 100 | 9.68929e-07 | 5.64026
8192 | 5000 | 1 | 1000 | 7.78206e-07 | 5.74839
8192 | 10000 | 0 | 0.1 | 1.5619e-07 | 41.4558
8192 | 10000 | 0 | 1 | 2.51112e-07 | 42.1215
8192 | 10000 | 0 | 10 | 2.43203e-07 | 42.0331
8192 | 10000 | 0 | 100 | 1.82806e-07 | 41.567
8192 | 10000 | 0 | 1000 | 4.19619e-08 | 41.968
8192 | 10000 | 1 | 0.1 | 5.82082e-08 | 11.2762
8192 | 10000 | 1 | 1 | 6.28679e-07 | 11.5647
8192 | 10000 | 1 | 10 | 8.22417e-07 | 11.6134
8192 | 10000 | 1 | 100 | 5.06226e-07 | 11.4844
8192 | 10000 | 1 | 1000 | 2.63384e-08 | 11.4899
